tittle,text,domain,topic
"Bà c? 92 v?n mang thai, tá h?a dua di khám m?i phát hi?n s? th?t d?ng tr?i sau 50 nam","Ai cung ph?i kinh ng?c khi bi?t nguyên nhân bà c? 92 tu?i v?n có th? mang thai. Th?c t?, hi?m có c? bà nào ? ngu?ng tu?i g?n d?t xa tr?i l?i có th? mang thai. ?y v?y mà tru?ng h?p m?t c? bà dù dã 92 tu?i v?n có k?t qu? siêu âm mang thai khi?n bác si cung ph?i kinh ng?c.",thoibao.today,Y t? 
Phát hi?n s? th?t d?ng tr?i sau vi?c ch?ng “không.. du?c”,"Tôi r?t yêu ch?ng mình nhung 3 nam l?y nhau chúng tôi v?n chua có con vì ch?ng tôi r?t y?u. M? ch?ng và các ch? ch?ng thu?ng xuyên lu?m nguýt tôi vì cho r?ng tôi là “gà mái không bi?t d? tr?ng”. Tôi không mu?n ch?ng bu?n nên v?n c?n rang ch?u d?ng. Ð?n m?t ngày, s? th?t khi?n tôi s?c n?ng.",thoibao.today,Ð?i s?ng 
VIDEO: Xót xa nhìn c?nh c? bà 87 tu?i co ro trong t?m chi?u cu gi?a mùa dông rét bu?t,"Không ch?ng con, m?y ch?c nam qua bà Nguy?n Th? Ð? (87 tu?i) v?n s?ng côi cút trong can nhà cu k? ch? kho?ng ch?c mét vuông t?i d?i 1, thôn B?c, xã C? Dung, huy?n Kim Thành (H?i Duong)",haiduong.tintuc.vn,Ð?i s?ng 
M?t ph? n? b?t m?t b?t cóc cháu bé 5 tu?i b? ngu?i dân tóm g?n,"Ngày 6.5, Công an th? xã Phu?c Long, t?nh Bình Phu?c dã t?m gi? bà Lê Th? Xuy?n (46 tu?i, ng? phu?ng Long Phu?c, th? xã Phu?c Long) d? di?u tra v? vi?c b?t cóc tr? em.
 Theo dó, kho?ng 7h30 cùng ngày, th?y cháu V.T. Ð (5 tu?i, phu?ng Long Phu?c) dang choi tru?c sân nhà nên bà Xuy?n b?t khan che kín m?t, ch?y xe máy d?o qua r?i d?ng l?i d? d? cháu lên xe.",laodong.vn,An ninh 
Bi k?ch ngo?i tình v?i b? ch?ng,"V?y là sau hon 5 tháng l?y ch?ng, tôi dã thành “dàn bà” v?i dúng nghia. Tôi dã bi?t mùi “yêu” v?i dàn ông. Nhung dó không ph?i là vi?c tôi quan h? v?i ch?ng tôi.",sorry.vn,Ð?i s?ng 
"Ð?c t? ch?i c?p Visa cho doàn công tác nhà nu?c, t?m ng?ng c?p Visa cho du h?c sinh Vi?t Nam?"," Giao thuong hai nu?c b?t d?u g?p ?nh hu?ng t? cang th?ng ngo?i giao Ð?c – Vi?t, sinh viên h?c sinh và doanh nghi?p dang gánh ch?u h?u qu?.",thoibao.de,Chính tr? 
Ð?i s? quán Ð?c t?i Hà N?i t? ch?i c?p Visa cho lao d?ng Vi?t Nam sang h?c ngh? di?u du?ng," Quan h? gi?a Ð?c và Vi?t Nam v?n ti?p t?c cang th?ng khi tòa Thu?ng th?m Berlin dang xét x? nghi ph?m m?t v? Vi?t Nam Nguy?n H?i Long, các nhân ch?ng dã khai tru?c tòa, phát l? du?ng dây b?t cóc ông TXT có liên quan d?n nh?ng cán b? c?p cao nh?t c?a d?ng nhu TBT Nguy?n Phú Tr?ng cung nhu ngu?i d?ng d?u co quan b?o v? pháp lu?t, thu?ng tu?ng Tô Lâm.",thoibao.de,Chính tr? 
S? th?t kinh hoàng v? nu?c M? qua l?i k? c?a m?t du h?c sinh Trung Qu?c," Du?i dây là câu chuy?n v? m?t du h?c sinh Trung Qu?c sau khi sang M? du h?c, s? th?t v? nu?c M? làm c?u bàng hoàng..
 Tôi dã t?ng ôm gi?c m?ng du?c h?c t?p ? dó, dã tìm m?i cách d? t?i du?c cái x? s? siêu cu?ng dó.",baonuocmy.com,Ð?i s?ng 
"Rùa bi?n sa lu?i ‘vuon c? cúi l?y’, ông ch? bèn mua r?i phóng sinh, 16 nam sau chú rùa quay l?i tr? on"," T?i Co Long, Ðài Loan có m?t c?a hàng mang tên “Ng? Duyên Hào”. Ông ch? Lâm v?n là m?t ngu?i t?t b?ng, thu?ng làm vi?c thi?n, khu v?c ông s?ng có nhi?u nh?ng cu dân dánh cá ki?m s?ng quanh dó.",thoibao.today,Ð?i s?ng 
Khám phá s?ng s?t v? trí nh? "nhu th?n" c?a d?ng v?t," Trí nh? siêu vi?t c?a d?ng v?t ch?c ch?n s? khi?n không ít ngu?i kinh ng?c, ngoài trí nh? ""nhu th?n"", có loài d?ng v?t còn có kh? nang suy nghi logic và th?c s? có th? suy ra n?u a = b và b = c thì a = c.",thoibao.today,Ð?i s?ng 
Nh?ng món an "th?n k?" giúp si t? "thi dâu d?u dó"," An d?u d? thi dâu d?u dó hay an b?p d? bài làm du?c ch?c nhu b?p... là nh?ng món mà m?i khi k? thi d?n là b?n có d?p thu?ng th?c.
 Các si t? hi?n dang trong giai do?n v?t l?n v?i k? thi c?c k? quan tr?ng c?a d?i mình chính là k? thi t?t nghi?p THPT .",thoibao.today,Ð?i s?ng 
Th?n du?c' mùa dông," Ðây chính là ""th?n du?c"" mùa dông giúp ch?a bách b?nh mà nhi?u ngu?i dang th? o!
  Su hào hay xu hào (t? ti?ng Pháp: chou-rave, danh pháp hai ph?n: Brassica oleracea nhóm Gongylodes) là m?t gi?ng cây tr?ng thân th?p và m?p c?a c?i b?p d?i, du?c ch?n l?a vì thân m?p, g?n nhu có d?ng hình c?u, ch?a nhi?u nu?c c?a nó. Su hào du?c t?o ra t? quá trình ch?n l?c nhân t?o d? l?y ph?n tang tru?ng c?a mô phân sinh ? thân, mà trong d?i thu?ng du?c g?i là c?. Ngu?n g?c t? nhiên c?a nó là c?i b?p d?i.",thoibao.today,Ð?i s?ng 
"Ð?ng bán nem chua rán, gái xinh khi?n dân m?ng tá h?a vì “d?ng c? nguy hi?m” d?t ngay du?i vòng 1","Thanh niên d?ng sau th?y r?i mà không ra c?u ngu?i ta di mà d?ng dó làm gì?
 Hóa ra “d?ng c? nguy hi?m” du?i vòng 1 cang d?y c?a hot girl ném chua rán chính là chi?c kéo nh?n, n?u không c?n th?n s? có th? gây thuong tích.
 Thanh niên s? nh? nh?t ngày hôm nay!",tinvn.info,Ð?i s?ng 
"Ði c? dêm m?i v?, bà m? tá ho? th?y m?t con b? c?t nát kinh d? và s? th?t s?c t?n não d?ng sau"," Bà m? s?ng s?t không ng?, khi l?y tay ch?m nh? vào v?t thuong trên m?t con gái là c?nh tu?ng này.
 B? di d?ng d?ng m?t dêm, d?n khi tr? v? bà m? tá h?a khi th?y khuôn m?t con gái vô cùng khác l?.
 Ð?n khi t?n tay s? vào, bà m? m?i nh?n ra thì ra dây là l?p trang di?m.",tinvn.info,Ð?i s?ng 
Khoe ?nh d?p không t? v?t nhung Ng?c Trinh khi?n ngu?i nhìn tá h?a khi phát hi?n ra ph?n ‘d? d?ng’ này!," Không th? d?m du?c dây là l?n th? bao nhiêu Ng?c Trinh g?p s? c? d? khóc d? cu?i nhu th? này!
 Ai cung bi?t Ng?c Trinh s? h?u các s? do và t? l? thân hình chu?n. M?i khi m?c sexy xu?t hi?n t?i s? ki?n thì các khách m?i cung ph?i lác m?t. ?y v?y mà d?p ch?ng dó v?n chua d? d?i v?i N? hoàng n?i y, chính vì th? mà cô dã nhi?u l?n ph?i nh? d?n photoshop. Tuy nhiên vì quá l?m d?ng mà thân hình cô còn b? bi?n d?ng h?n, nhi?u lúc còn b? khuy?t c? b? ph?n. M?i dây, cô nàng dang b?c ?nh m?c váy den d?p mi?n chê, guong m?t trong sáng nhu thiên th?n. Tuy nhiên lúc nhìn xu?ng phía du?i thì ai cung toá ho? vì Ng?c Trinh b? m?t luôn 1 bên chân! Tru?c dó ngu?i d?p này dã t?ng mu?i m?t vì vu?ng s? c? tuong t?.
 Ðây chính là b?c ?nh có v?n d? c?a Ng?c Trinh. M?t chi?c chân dã không cánh mà bay
",tinvn.info,Gi?i trí 
FastGo quy?t khô máu v?i Grab!,"Tr?i nghi?m nh?ng gi?i d?u th? thao qu?c t? trên VTVcab ON 0 0 N?u mu?n thu?ng th?c Ngo?i h?ng Anh, Bóng dá Ð?c, Tennis WTA, Glanslam, bóng r? NBA, VBA, Golf, V.League cùng nh?ng gi?i d?u th? thao t?m c? qu?c t? m?t cách...
 ",tinvn.info,Kinh t?
Nh?t Kim Anh ti?t l? "th?n du?c" giúp cô thoát kh?i lu?i hái t? th?n trên máy bay,"M?i dây, trên trang cá nhân, n? ca si Nh?t Kim Anh dã c?p nh?p dòng tr?ng thái chia s? v? vi?c mình b? co rút và ng?t x?u ngay trên máy bay.
 Tru?c khi lên máy bay, Nh?t Kim Anh dã c?m th?y ngu?i m?t m?i vì c?m s?t. Tuy v?y, n? ca si ch? nghi dó là c?m s?t bình thu?ng. Ð?n khi máy bay b?t d?u lan bánh, tr?i qua nh?ng c?m giác khó ch?u nhu bao t? b? cào xé, co th? run r?y, l?nh ngu?i.",tinvn.info,Gi?i trí 
"M?c d? boi g?i c?m, B?o Anh gây b?t ng? khi xam ch? này lên dùi"," Hình xam trên dùi gây tò mò b?y lâu nay dã du?c n? ca si b?t mí.
 S? h?u gi?ng hát d?y c?m xúc và n?i l?c, B?o Anh còn du?c khán gi? yêu m?n b?i nhan s?c xinh d?p, trong sáng, và cu?c s?ng d?i tu “s?ch” scandal. B?i v?y, t?t th?y ai cung d?u choáng khi hình ?nh n? ca si l? hình xam trên co th?.",tinvn.info,Gi?i trí 
Hàng ngàn ngu?i Hà N?i d?ng hình khi ch?ng ki?n b? trang ph?c tr?n da th?t c?a em gái tr? d?p này," T?i qua Sài Gòn b?ng nhiên se l?nh các m? ?, em dang n?m trong chan ?m lu?t web thì b?ng d?p vào m?t là t?m hình ch?p l?i m?t cô gái an m?c siêu h? hang dang d?ng d?ng ngoài ph?. Không nói ch?c các m? cung bi?t em rùng mình nhu th? nào, mình dang n?m trong chan dây mà còn th?y l?nh, hu?ng gì ngu?i ta an m?c phong phanh th? kia d?ng gi? tr?i.",tinvn.info,Ð?i s?ng 
C?m giác nhu tr?c quay trái d?t s?p gãy khi xem lo?t ?nh không th? không gào thét này," B?n s? th?y b?t r?t, khó ch?u, dau d?n th?m chí là t?c n? dom dóm m?t n?u m?t ngày roi vào hoàn c?nh nhu v?y! Tôi khuyên b?n chân thành m?t câu, d?ng d? nh?ng th? c?i chày dó ?nh hu?ng d?n c?m xúc c?a mình, vì nó dang mu?n mình già di, x?u xí di.
 ",tinvn.info,Gi?i trí 
Ngu?i dàn ông b? “ma d?t di choi” cho t?i ch?t ? Qu?ng Nam?," 3h sáng, khi anh H. dang ng? thì có m?t lu?ng sáng r?i vào m?t khi?n anh t?nh gi?c. V?a m? m?t ra, anh th?y ba ngu?i dàn ông m?c qu?n áo tr?ng toát d?ng s?n t? bao gi?.
 H? không ng?ng g?i tên anh. Trong “con mê”, anh H. m?c áo, d?i mu và di theo h?…Ð?n chi?u t?i cùng ngày, anh m?i tr? v? nhà. Tuy nhiên, không lâu sau dó thì anh t? vong.
 Ly k? l?i k? c?a n?n nhân tru?c khi ch?t
",tinvn.info,Ð?i s?ng 
"Nh?t du?c chi?c h?p kì l? trên bi?n, ngu?i dàn ông ph?i vào vi?n ngay l?p t?c khi bi?t danh tính th?t c?a nó"," Không th? ng?, ch? ch?m vào chi?c h?p ngu?i dàn ông l?i ph?i ch?u h?u qu? nhu v?y.
 M?t ngu?i dàn ông nu?c ngoài trong m?t l?n di d?o bi?n dã b?t g?p m?t chi?c h?p có hình dáng khá kì l?. Cho d?n khi d?n g?n hon, ông ta m?i phát hi?n thì ra dó là m?t chú cá. Tuy nhiên vì chua bao gi? th?y m?t chú cá có hình dáng nhu v?y nên ông quy?t d?nh tìm hi?u v? nó.
 Hình dáng kì l? thu hút ngu?i nhìn ngay l?p t?c ",tinvn.info,Ð?i s?ng 
Nh?ng d?u hi?u nh?n bi?t nhà b?n dang có ma và cách tr? ma qu? trong nhà," D?u hi?u nh?n bi?t nhà có ma. Các khung gi? 18 gi? chi?u, 24 gi? dêm (0 gi? sáng) và 3 gi? sáng (qu? môn quan) chính là 3 khung gi? mà vong h?n thu?ng xuyên ho?t d?ng m?nh m? nh?t. Khi ?y, thu?ng b?u không khí s? tr? nên l?nh l?o và ghê r?n vô cùng.
",tinvn.info,Ð?i s?ng 
Bí m?t d?ng tr?i mà không m?t nhân viên khách s?n nào dám nói cho b?n bi?t," Ð?m b?o b?n s? shock khi bi?t nh?ng bí m?t du?c gi?u nh?m di này m?i l?n ghé chân t?i khách s?n.
 Khách s?n, nhà ngh?… là m?t ph?n không th? thi?u trong nh?ng chuy?n di du l?ch. Tuy nhiên, m?i khách s?n d?u ?n ch?a bí m?t mà n?u n?m du?c “chìa khóa” này, b?n có th? ti?t ki?m du?c kha khá ti?n và t?n hu?ng tr?n v?n k? ngh? c?a mình t?i dó. Du?i dây là m?t s? t?ng h?p t? các khách s?n trên th? gi?i",tinvn.info,Ð?i s?ng 
Bí m?t d?ng sau chi?c nh?n trên ngón tay út c?a Thanh H?ng và Chi Pu,"Hai m? nhân dình dám c?a Vbiz thu?ng xuyên deo nh?n ? ngón tay út, và dây chính là lí do.
 Ð?i v?i phái d?p nói chung và nh?ng m? nhân dình dám c?a Vbiz nói riêng, trang s?c nhu nh?n, hoa tai hay dây chuy?n d?u không th? thi?u trong m?i l?n xu?t hi?n.
 Khác v?i nhi?u m? nhân, Thanh H?ng và Chi Pu thu?ng g?n li?n v?i chi?c nh?n b?c nh? xinh ? ngón tay út. Ngoài vi?c tang tính th?m m?, thì chi?c nh?n này còn có ý nghia r?t d?c bi?t d?i v?i h?.",tinvn.info,Gi?i trí 
Bé Nh?t Lan báo m?ng cho ngu?i nhà v? nghi ph?m tru?c khi b? b?t," Nhu Báo Gia dình & Xã h?i dã thông tin, sáng qua (14/4), phía c?nh sát nu?c Nh?t B?n dã b?t gi? nghi ph?m Shibuya Yasumasa (46 tu?i) liên quan d?n cái ch?t thuong tâm c?a cháu Lê Th? Nh?t Linh (9 tu?i), trú t?i thôn Bãi S?y 3, xã Tân Dân, huy?n Khoái Châu (Hung Yên).
 Khi có thông t? nu?c s? t?i, v? ch?ng ch? Nguy?n Th? Nguyên (SN 1986) cùng anh Lê Anh Hào (SN 1982) là b? m? bé Linh dã t? nhà ngo?i t?i thôn Trà My, xã Thu? Huong, huy?n Ki?n Thu?, TP. H?i Phòng v? quê n?i Hung Yên d? dón Ð?i s? Nh?t B?n t?i Vi?t Nam d?n tham, chia bu?n.
",tinvn.info,Ð?i s?ng 
"Ao làng b?ng lúc nhúc toàn sinh v?t l?, thò tay s? vào m?i tím m?t s? hãi khi bi?t s? th?t"," Th?y ao làng lúc nhúc toàn sinh v?t l?, ngu?i dàn ông tò mò t?i g?n và suýt ng?t l?m tru?c c?nh tu?ng hãi hùng.
 Lâu lâu v? tham quê, ngu?i dàn ông c?m th?y vô cùng thích thú v?i c?nh tu?ng yên bình cùng không khí trong tr?o d?c trung noi dây. Ðang th? b? trên con du?ng làng, b?t ch?t ông th?y nhi?u ngu?i xúm l?i ? m?t cái ao, quá tò mò, ông quy?t d?nh r?o bu?c d?n g?n xem th?.",tinvn.info,Ð?i s?ng 
"C?u bé kinh hãi khi th?y chân lúc nhúc hàng tri?u sinh v?t b?u ch?t, cúi xu?ng phát hi?n s? th?t bàng hoàng"," Kinh ng?c c?nh tu?ng hàng tri?u sinh v?t bò nhung nhúc b?u ch?t l?y chân.
 Christmas là m?t d?o nh? thu?c Úc, cách 2.600 km v? Phía tây b?c thành ph? Perth. Hòn d?o là quê huong c?a vô s? các loài d?ng – th?c v?t vô cùng phong phú và k? l?. N?u không chú ý, nh?ng du khách l?n d?u tiên d?n tham quan hòn d?o này thu?ng g?p nhi?u “phe” s?n gai ?c, khi ra v?a ch? d?ng im vài phút thôi, dã th?y du?i bàn chân mình r?n r?n, nhung nhúc vô cùng nhi?u sinh v?t k? l? dang bò lên và b?u ch?t l?y. Th?m chí, c? nh?ng con du?ng hay c? b? bi?n noi dây d?u b? nhu?m m?t màu d? r?c.
 Hàng tram tri?u con cua bò lên b?u ch?t l?y chân c?u bé.
",tinvn.info,Ð?i s?ng 
Bác si không d?u tru?c c?a phòng khám khi?n c? b?nh vi?n náo lo?n khi bi?t s? th?t,"Hình ?nh ngu?i bác si không d?u xu?t hi?n trong b?nh vi?n dã khi?n các b?nh nhân ho?ng lo?n tránh xa.
 M?i dây, trên trang thông tin c?a Thái Lan dã chia s? hình ?nh ngu?i bác si có ngo?i hình k? l? xu?t hi?n t?i b?nh vi?n. Nh?ng hình ?nh c?a v? bác si dã nhanh chóng du?c chia s? và nh?n du?c s? quan tâm t? phía c?ng d?ng m?ng toàn châu Á.",tinvn.info,Ð?i s?ng 
S?c v?i nh?ng lo?i “bùa ng?i” có th?t d?u hi?u khi b? dính và dây là cách phòng tránh !,"
 Bùa ng?i luôn là m?t ph?m trù bí ?n d?i v?i con ngu?i. Trên th? gi?i, có r?t nhi?u l?i d?n d?i v? bùa ng?i, th?m chí có ngu?i t?ng ch?ng ki?n t?n m?t. V?y làm sao d? nh?n bi?t khi b? dính bùa ng?i và cách nào d? phòng tránh?
 Trên th?c t?, dã có m?t s? công trình nghiên c?u khoa h?c ch?ng minh bùa ng?i là có th?t. Bùa ng?i tru?c dây ch? y?u du?c dùng d? th? hi?n khát khao d?t du?c nh?ng di?u t?t lành: bùa c?u bình an, ng?i ch?a b?nh…
 Tuy nhiên, cu?c s?ng quá nhi?u bon chen, cám d?, ghen ghét, d? k? khi?n ý nghia t?t d?p ban d?u b? bóp méo, gi? dây nh?c t?i bùa ng?i, th? hi?n lên trong d?u m?i ngu?i ch? là nh?ng th? r?t dáng s?, nh?ng con dau d? d?i, tâm th?n b?n lo?n, m?t trí,…
  ",tinvn.info,Ð?i s?ng 
"Nh?t du?c xác tran ven du?ng, ngu?i dàn ông ch?t s?ng v?i th? trong b?ng tran lâu nam"," Th?y xác tran ven du?ng, ngu?i dàn ông không ng? khi m? b?ng tran l?i nhìn th?y c?nh tu?ng hãi hùng này.
 Con tran du?c phát hi?n ch?t ven m?t con du?ng t?i bang Florida,M? v?i cái b?ng kh?ng l? nên ngu?i dàn ông doán ch?c nó dã nu?t ch?ng m?t th? gì dó tru?c khi t? n?n.
 Con tran này có chi?u dài lên t?i 5m và n?ng g?n 50kg. Ðây là m?t con tran m?c thu?c loài tran l?n nh?t th? gi?i. Loài tran này thu?ng s? d?ng co b?p ch?c kh?e d? qu?n ch?t l?y con m?i, làm t?c m?ch máu cho d?n khi h? th?ng tu?n hoàn ng?ng ho?t d?ng d? tiêu hóa con m?i.
 ",tinvn.info,Ð?i s?ng 
